"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm48000001","中国科学院长春分院","http://www.ccb.cas.cn/","中国科学院长春分院","正常"
"2","bm48000002","中国科学院","http://www.cas.cn","中国科学院","正常"
"3","bm48000003","中国科学院办公厅","http://www.go.cas.cn/","中国科学院办公厅","正常"
"4","bm48000004","中国科学院重大科技基础设施","http://lssf.cas.cn/","中国科学院科技基础能力局","正常"
"5","bm48000005","中国科学院可持续发展研究局","http://www.std.cas.cn/","中国科学院可持续发展研究局","正常"
"6","bm48000006","中国科学院知识产权与科技成果转化网","http://www.casip.ac.cn/","中国科学院可持续发展研究局","正常"
"7","bm48000008","中国科学院发展规划局","http://www.bdp.cas.cn","中国科学院发展规划局","正常"
"8","bm48000009","中国科学院离退休干部工作局","http://www.lt.cas.cn","中国科学院离退休干部工作局","正常"
"9","bm48000010","中国科学院广州分院","http://www.gzb.cas.cn/","中国科学院广州分院","正常"
"10","bm48000012","香山科学会议","http://www.xssc.ac.cn/","中国科学院前沿科学与基础研究局","正常"
"11","bm48000013","中国科学院兰州分院","http://www.lzb.cas.cn/","中国科学院兰州分院","正常"
"12","bm48000014","中国科学院南京分院","http://www.njb.cas.cn/","中国科学院南京分院","正常"
"13","bm48000015","中国科学院昆明分院","http://www.kmb.ac.cn/","中国科学院昆明分院","正常"
"14","bm48000016","中国科学院前沿科学与基础研究局","http://www.bfse.cas.cn/","中国科学院前沿科学与基础研究局","正常"
"15","bm48000017","中国科学院财务与资产管理局","http://www.bpf.cas.cn","中国科学院财务与资产管理局","正常"
"16","bm48000018","中国科学院武汉分院","http://www.whb.cas.cn","中国科学院武汉分院","正常"
"17","bm48000019","中国科学院成都分院","http://www.cdb.cas.cn/","中国科学院成都分院","正常"
"18","bm48000020","中国科学院人事局","www.pe.cas.cn","中国科学院人事局","正常"
"19","bm48000022","中国科学院学部","http://www.casad.cas.cn/","中国科学院学部工作局","正常"
"20","bm48000023","中国科学院监督与审计局","http://www.jianshen.cas.cn/","中国科学院监督与审计局","正常"
"21","bm48000024","中国科学院西安分院 陕西省科学院","http://www.xab.cas.cn/","中国科学院西安分院","正常"
"22","bm48000025","中国科学院新疆分院","http://www.xjb.cas.cn","中国科学院新疆分院","正常"
"23","bm48000027","中国科学院重大科技任务局","http://www.bmrdp.cas.cn/","中国科学院重大科技任务局","正常"
"24","bm48000029","中国科学院沈阳分院","http://www.syb.cas.cn/","中国科学院沈阳分院","正常"
"25","bm48000030","中国科学院上海分院","www.shb.cas.cn","中国科学院上海分院","正常"
"26","bm48000032","中国科学院国际合作局","http://www.bic.cas.cn/","中国科学院国际合作局","正常"
"27","bm48000033","中国科学院网信工作网","http://www.ecas.cas.cn/","中国科学院科技基础能力局","正常"
"28","bm48000036","中国科学院科技基础能力局","http://www.bsc.cas.cn/","中国科学院科技基础能力局 ","正常"
