"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm19000001","交通运输部珠江航务管理局政府网站","https://zjhy.mot.gov.cn/","交通运输部珠江航务管理局","正常"
"2","bm19000004","交通运输部政府网站","https://www.mot.gov.cn/","交通运输部政策研究室","正常"
"3","bm19000005","交通运输部行政许可网上办理平台","http://xkpt.mot.gov.cn/","交通运输部办公厅","正常"
"4","bm19010001","中华人民共和国海事局政府网站","https://www.msa.gov.cn/","交通运输部海事局","正常"
"5","bm19020001","中华人民共和国上海海事局政府网站","www.sh.msa.gov.cn","上海海事局科技信息处","正常"
"6","bm19030001","中华人民共和国天津海事局政府网站","http://www.tj.msa.gov.cn/","中华人民共和国天津海事局","正常"
"7","bm19040002","中华人民共和国辽宁海事局政府网站","https://www.ln.msa.gov.cn","中华人民共和国辽宁海事局","正常"
"8","bm19050001","中华人民共和国河北海事局政府网站","http://www.hb.msa.gov.cn","河北海事局","正常"
"9","bm19060002","中华人民共和国山东海事局政府网站","https://www.sd.msa.gov.cn","中华人民共和国山东海事局","正常"
"10","bm19070001","中华人民共和国江苏海事局政府网站","http://www.js.msa.gov.cn/","中华人民共和国江苏海事局","正常"
"11","bm19080005","中华人民共和国浙江海事局政府网站","http://www.zj.msa.gov.cn/","中华人民共和国浙江海事局","正常"
"12","bm19090001","中华人民共和国福建海事局政府网站","http://www.fj.msa.gov.cn","福建海事局办公室","正常"
"13","bm19100001","中华人民共和国广东海事局政府网站","https://www.gd.msa.gov.cn/","中华人民共和国广东海事局","正常"
"14","bm19110001","中华人民共和国广西海事局政府网站","http://www.gx.msa.gov.cn/","中华人民共和国广西海事局","正常"
"15","bm19120001","中华人民共和国海南海事局政府网站","http://www.hn.msa.gov.cn/","海南海事局","正常"
"16","bm19130001","中华人民共和国黑龙江海事局政府网站","https://hlj.msa.gov.cn/","黑龙江海事局","正常"
"17","bm19140002","中华人民共和国深圳海事局政府网站","https://www.sz.msa.gov.cn/","中华人民共和国深圳海事局办公室","正常"
"18","bm19170001","中华人民共和国连云港海事局政府网站","www.lyg.msa.gov.cn","连云港海事局","正常"
"19","bm19400001","交通运输部长江航务管理局网站","https://cjhy.mot.gov.cn","交通运输部长江航务管理局","正常"
"20","bm19400002","长江三峡通航管理局","https://sxth.mot.gov.cn/","交通运输部长江航务管理局","正常"
"21","bm19410001","中华人民共和国长江海事局","http://cj.msa.gov.cn/","长江海事局","正常"
