"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","5200000077","贵州省地震局","http://www.gzsdzj.gov.cn/","贵州省地震局","正常"
"2","bm53000001","中国地震局","http://www.cea.gov.cn/","中国地震局","正常"
"3","bm53010001","北京市地震局","http://www.bjdzj.gov.cn","北京市地震局","正常"
"4","bm53020001","天津市地震局","https://www.tjdzj.gov.cn","天津市地震局","正常"
"5","bm53030001","河北省地震局","www.hbdzj.gov.cn","河北省地震局","正常"
"6","bm53040001","山西省地震局","http://www.shxdzj.gov.cn","山西省地震局","正常"
"7","bm53050001","内蒙古自治区地震局","www.nmgdzj.gov.cn","内蒙古自治区地震局","正常"
"8","bm53060001","辽宁地震信息网","http://lndzj.gov.cn","辽宁省地震局办公室","正常"
"9","bm53070001","吉林省地震局","http://dzj.jl.gov.cn/","吉林省地震局","正常"
"10","bm53080001","黑龙江省地震局","http://www.hea.gov.cn","黑龙江省地震局","正常"
"11","bm53090001","上海市地震局","https://www.shdzj.gov.cn","上海市地震局","正常"
"12","bm53100001","江苏防震减灾","http://www.jsdzj.gov.cn","江苏省地震局","正常"
"13","bm53110001","浙江省地震局","http://www.zjdz.gov.cn/","浙江省地震局","正常"
"14","bm53120001","安徽省防震减灾信息网","http://www.ahdzj.gov.cn","安徽省地震局","正常"
"15","bm53130001","福建省地震局门户网站","http://www.fjdzj.gov.cn/","福建省地震局","正常"
"16","bm53140001","江西省地震局","www.jxsdzj.gov.cn","江西省地震局","正常"
"17","bm53150001","山东省地震局","http://www.sddzj.gov.cn/","山东省地震局","正常"
"18","bm53160001","河南省地震局","https://www.hendzj.gov.cn/","河南省地震局","正常"
"19","bm53170001","湖北防震减灾信息网","http://www.hubdzj.gov.cn","湖北省地震局","正常"
"20","bm53180001","湖南省地震局","http://www.hundzj.gov.cn","湖南省地震局","正常"
"21","bm53190001","广东省地震信息网","http://www.gddzj.gov.cn/","广东省地震局","正常"
"22","bm53200001","海南省地震局","http://www.haindzj.gov.cn/","海南省地震局","正常"
"23","bm53210001","广西防震减灾网","www.gxdzj.gov.cn","广西壮族自治区地震局","正常"
"24","bm53220001","四川省地震局","http://www.scdzj.gov.cn","四川省地震局","正常"
"25","bm53230001","重庆市地震局","http://www.cqdzj.gov.cn/","重庆市地震局","正常"
"26","bm53240001","云南防震减灾网","http://yndzj.gov.cn","云南省地震局","正常"
"27","bm53250001","西藏地震信息网","http://www.xizdzj.gov.cn","西藏自治区地震局","正常"
"28","bm53260001","陕西地震信息网","http://www.sxdzj.gov.cn","陕西省地震局","正常"
"29","bm53270001","甘肃地震信息网_兰州地震研究所","http://www.gsdzj.gov.cn/","甘肃省地震局 中国地震局兰州地震研究所","正常"
"30","bm53280001","青海省地震局","https://www.qhdzj.gov.cn/","青海省地震局","正常"
"31","bm53290001","宁夏回族自治区地震局门户网站","http://www.nxdzj.gov.cn","宁夏回族自治区地震局","正常"
"32","bm53300001","新疆维吾尔自治区地震局","http://www.xjdzj.gov.cn/","新疆维吾尔自治区地震局","正常"
