"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm07000001","中华人民共和国工业和信息化部网站","https://www.miit.gov.cn","工业和信息化部","正常"
"2","bm07010001","北京市通信管理局","https://bjca.miit.gov.cn/","北京市通信管理局","正常"
"3","bm07020001","天津市通信管理局","http://tjca.miit.gov.cn/","天津市通信管理局","正常"
"4","bm07030001","河北省通信管理局门户网站","http://hbca.miit.gov.cn","河北省通信管理局","正常"
"5","bm07040001","山西省通信管理局","https://sxca.miit.gov.cn/","山西省通信管理局","正常"
"6","bm07050001","内蒙古自治区通信管理局门户网站","nmca.miit.gov.cn","内蒙古自治区通信管理局","正常"
"7","bm07060001","辽宁省通信管理局","http://lnca.miit.gov.cn/","工业和信息化部","正常"
"8","bm07070001","吉林省通信管理局","http://jlca.miit.gov.cn","吉林省通信管理局","正常"
"9","bm07080001","黑龙江省通信管理局官网","http://hljca.miit.gov.cn/","黑龙江省通信管理局","正常"
"10","bm07090001","上海市通信管理局官网","https://shca.miit.gov.cn/","上海市通信管理局","正常"
"11","bm07100001","江苏省通信管理局","https://jsca.miit.gov.cn","江苏省通信管理局","正常"
"12","bm07110001","浙江省通信管理局","https://zjca.miit.gov.cn/","浙江省通信管理局","正常"
"13","bm07120001","安徽省通信管理局网站","http://ahca.miit.gov.cn","安徽省通信管理局","正常"
"14","bm07130001","福建省通信管理局官方网站","http://fjca.miit.gov.cn","福建省通信管理局","正常"
"15","bm07140001","江西省通信管理局","jxca.miit.gov.cn","江西省通信管理局","正常"
"16","bm07150002","山东省通信管理局","http://sdca.miit.gov.cn/","山东省通信管理局","正常"
"17","bm07160001","河南省通信管理局","http://hca.miit.gov.cn/","河南省通信管理局","正常"
"18","bm07170001","湖北省通信管理局","http://hubca.miit.gov.cn","湖北省通信管理局","正常"
"19","bm07180001","湖南省通信管理局","http://hunca.miit.gov.cn/","湖南省通信管理局","正常"
"20","bm07190001","广东省通信管理局","https://gdca.miit.gov.cn/","广东省通信管理局","正常"
"21","bm07200001","海南省通信管理局","http://hnca.miit.gov.cn","海南省通信管理局","正常"
"22","bm07210001","广西壮族自治区通信管理局门户网站","gxca.miit.gov.cn","广西壮族自治区通信管理局","正常"
"23","bm07220001","四川省通信管理局","https://scca.miit.gov.cn","四川省通信管理局","正常"
"24","bm07230001","贵州省通信管理局","https://gzca.miit.gov.cn/","贵州省通信管理局","正常"
"25","bm07240001","重庆市通信管理局","http://cqca.miit.gov.cn/","重庆市通信管理局","正常"
"26","bm07250001","云南省通信管理局","https://ynca.miit.gov.cn/","云南省通信管理局","正常"
"27","bm07260001","西藏自治区通信管理局","http://xzca.miit.gov.cn","西藏自治区通信管理局","正常"
"28","bm07270001","陕西省通信管理局","http://shxca.miit.gov.cn","陕西省通信管理局","正常"
"29","bm07280001","甘肃省通信管理局","http://gsca.miit.gov.cn","甘肃省通信管理局","正常"
"30","bm07290001","青海省通信管理局","https://qhca.miit.gov.cn/","青海省通信管理局","正常"
"31","bm07300001","宁夏回族自治区通信管理局","http://nxca.miit.gov.cn","宁夏回族自治区通信管理局","正常"
"32","bm07310001","新疆维吾尔自治区通信管理局","https://xjca.miit.gov.cn/","新疆维吾尔自治区通信管理局","正常"
