"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm54000001","中国气象网","http://www.cma.gov.cn/","中国气象局","正常"
"2","bm54010001","北京市气象局","http://bj.cma.gov.cn/","北京市气象局办公室","正常"
"3","bm54020001","天津气象","http://tj.cma.gov.cn/","天津市气象局","正常"
"4","bm54030001","河北省气象局","http://he.cma.gov.cn/","河北省气象局办公室","正常"
"5","bm54040001","山西气象","http://sx.cma.gov.cn/","山西省气象局","正常"
"6","bm54050006","内蒙古自治区气象局政府门户网","http://nm.cma.gov.cn/","内蒙古自治区气象局","正常"
"7","bm54060001","辽宁省气象局","http://ln.cma.gov.cn","辽宁省气象局办公室","正常"
"8","bm54070004","吉林省气象局非门户网站","http://jl.cma.gov.cn/","吉林省气象局","正常"
"9","bm54080001","黑龙江省气象局","http://hl.cma.gov.cn","黑龙江省气象局","正常"
"10","bm54090001","上海市气象局","http://sh.cma.gov.cn","上海市气象局","正常"
"11","bm54100001","江苏省气象局","http://js.cma.gov.cn/","江苏省气象局","正常"
"12","bm54110001","浙江省气象政府网站","http://zj.cma.gov.cn","浙江省气象局办公室","正常"
"13","bm54120002","安徽省气象局","http://ah.cma.gov.cn","安徽省气象局办公室","正常"
"14","bm54130001","福建气象","http://fj.cma.gov.cn","福建省气象局","正常"
"15","bm54140001","江西气象网","http://jx.cma.gov.cn","江西省气象局","正常"
"16","bm54150001","山东气象网","http://sd.cma.gov.cn/","山东省气象局","正常"
"17","bm54160001","河南省气象局网站","http://ha.cma.gov.cn/","河南省气象局办公室","正常"
"18","bm54170001","湖北气象","http://hb.cma.gov.cn","湖北省气象局","正常"
"19","bm54180001","湖南省气象局","http://hn.cma.gov.cn/","湖南省气象局","正常"
"20","bm54190017","广东省气象局","http://gd.cma.gov.cn","广东省气象局办公室","正常"
"21","bm54200001","海南省气象局网站","http://hi.cma.gov.cn/","海南省气象局","正常"
"22","bm54210003","广西气象局","http://gx.cma.gov.cn/","广西壮族自治区气象局","正常"
"23","bm54220002","四川省气象局","http://sc.cma.gov.cn/","四川省气象局","正常"
"24","bm54230001","重庆市气象局","http://cq.cma.gov.cn/","重庆市气象局","正常"
"25","bm54240001","贵州省气象局","http://gz.cma.gov.cn","贵州省气象局","正常"
"26","bm54250001","云南省气象局","http://yn.cma.gov.cn","云南省气象局办公室","正常"
"27","bm54260001","西藏自治区气象局","http://xz.cma.gov.cn/","西藏自治区气象局","正常"
"28","bm54270001","陕西省气象局网站","http://sn.cma.gov.cn","陕西省气象局","正常"
"29","bm54280001","甘肃省气象局","http://gs.cma.gov.cn/","甘肃省气象局办公室","正常"
"30","bm54290001","青海气象","http://qh.cma.gov.cn/","青海省气象局办公室","正常"
"31","bm54300001","宁夏回族自治区气象局网站","http://nx.cma.gov.cn","宁夏回族自治区气象局办公室","正常"
"32","bm54310001","新疆气象","http://xj.cma.gov.cn/","新疆维吾尔自治区气象局办公室","正常"
