"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm20000001","中华人民共和国水利部网站","http://www.mwr.gov.cn/","水利部办公厅","正常"
"2","bm20010002","长江水利网","http://www.cjw.gov.cn","长江水利委员会","正常"
"3","bm20020013","黄河网","http://www.yrcc.gov.cn/","黄河水利委员会办公室","正常"
"4","bm20020018","河南黄河网","http://hnb.yrcc.gov.cn/","黄河水利委员会河南黄河河务局","正常"
"5","bm20020019","山东黄河网","http://sdb.yrcc.gov.cn/","山东黄河河务局办公室","正常"
"6","bm20030001","沂沭泗水利网","http://yss.hrc.gov.cn","淮河水利委员会沂沭泗水利管理局","正常"
"7","bm20030002","淮河水利网","http://www.hrc.gov.cn/","淮河水利委员会","正常"
"8","bm20040002","海河水利网","http://www.hwcc.gov.cn","水利部海河水利委员会","正常"
"9","bm20050002","水利部珠江水利委员会网站","http://www.pearlwater.gov.cn/","水利部珠江水利委员会","正常"
"10","bm20060001","松辽水利网","http://www.slwr.gov.cn/","水利部松辽水利委员会","正常"
"11","bm20070001","太湖网","http://www.tba.gov.cn/","水利部太湖流域管理局","正常"
