"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm28000001","中国海关门户网站","http://www.customs.gov.cn","海关总署办公厅","正常"
"2","bm28000002","中国电子口岸","http://www.chinaport.gov.cn/","中华人民共和国海关总署","正常"
"3","bm28020001","中华人民共和国北京海关网站","http://beijing.customs.gov.cn/","北京海关办公室","正常"
"4","bm28030001","中华人民共和国天津海关网站","http://tianjin.customs.gov.cn","天津海关办公室","正常"
"5","bm28040001","中华人民共和国石家庄海关网站","http://shijiazhuang.customs.gov.cn","石家庄海关办公室","正常"
"6","bm28050001","中华人民共和国太原海关网站","http://taiyuan.customs.gov.cn/","太原海关办公室","正常"
"7","bm28060001","中华人民共和国呼和浩特海关网站","http://huhehaote.customs.gov.cn","呼和浩特海关办公室","正常"
"8","bm28070001","中华人民共和国满洲里海关网站","http://manzhouli.customs.gov.cn","中华人民共和国满洲里海关办公室","正常"
"9","bm28080001","中华人民共和国大连海关网站","http://dalian.customs.gov.cn","大连海关办公室","正常"
"10","bm28090001","中华人民共和国沈阳海关网站","http://shenyang.customs.gov.cn","中华人民共和国沈阳海关办公室","正常"
"11","bm28100001","中华人民共和国长春海关网站","http://changchun.customs.gov.cn","长春海关办公室","正常"
"12","bm28110001","中华人民共和国哈尔滨海关网站","http://harbin.customs.gov.cn","中华人民共和国哈尔滨海关办公室","正常"
"13","bm28120001","中华人民共和国上海海关网站","http://shanghai.customs.gov.cn","上海海关办公室","正常"
"14","bm28130001","中华人民共和国南京海关网站","http://nanjing.customs.gov.cn/","中华人民共和国南京海关办公室","正常"
"15","bm28140001","中华人民共和国杭州海关网站","http://hangzhou.customs.gov.cn","中华人民共和国杭州海关办公室","正常"
"16","bm28150001","中华人民共和国宁波海关网站","http://ningbo.customs.gov.cn","中华人民共和国宁波海关办公室","正常"
"17","bm28160001","中华人民共和国合肥海关网站","http://hefei.customs.gov.cn","中华人民共和国合肥海关办公室","正常"
"18","bm28170001","中华人民共和国福州海关网站","http://fuzhou.customs.gov.cn","中华人民共和国福州海关办公室","正常"
"19","bm28180001","中华人民共和国厦门海关网站","http://xiamen.customs.gov.cn","中华人民共和国厦门海关办公室","正常"
"20","bm28190001","中华人民共和国南昌海关网站","http://nanchang.customs.gov.cn","中华人民共和国南昌海关办公室","正常"
"21","bm28200001","中华人民共和国青岛海关网站","http://qingdao.customs.gov.cn","青岛海关办公室","正常"
"22","bm28210001","中华人民共和国济南海关网站","http://jinan.customs.gov.cn/","济南海关办公室","正常"
"23","bm28220001","中华人民共和国郑州海关网站","http://zhengzhou.customs.gov.cn","郑州海关办公室","正常"
"24","bm28230001","中华人民共和国武汉海关网站","http://wuhan.customs.gov.cn/","中华人民共和国武汉海关办公室","正常"
"25","bm28240001","中华人民共和国长沙海关网站","http://changsha.customs.gov.cn/","长沙海关办公室","正常"
"26","bm28250001","中华人民共和国广州海关网站","http://guangzhou.customs.gov.cn","中华人民共和国广州海关办公室","正常"
"27","bm28260001","中华人民共和国深圳海关网站","http://shenzhen.customs.gov.cn","中华人民共和国深圳海关办公室","正常"
"28","bm28270001","中华人民共和国拱北海关","http://gongbei.customs.gov.cn","中华人民共和国拱北海关办公室","正常"
"29","bm28280001","中华人民共和国汕头海关网站","http://shantou.customs.gov.cn/","中华人民共和国汕头海关办公室","正常"
"30","bm28290001","中华人民共和国黄埔海关网站","http://huangpu.customs.gov.cn","黄埔海关办公室","正常"
"31","bm28300001","中华人民共和国江门海关网站","http://jiangmen.customs.gov.cn","江门海关办公室","正常"
"32","bm28310001","中华人民共和国湛江海关网站","http://zhanjiang.customs.gov.cn","湛江海关办公室","正常"
"33","bm28320001","中华人民共和国南宁海关网站","http://nanning.customs.gov.cn","南宁海关办公室","正常"
"34","bm28330001","中华人民共和国海口海关网站","http://haikou.customs.gov.cn/","海口海关办公室","正常"
"35","bm28340001","中华人民共和国重庆海关网站","http://chongqing.customs.gov.cn/","中华人民共和国重庆海关办公室","正常"
"36","bm28350001","中华人民共和国成都海关网站","http://chengdu.customs.gov.cn","成都海关办公室","正常"
"37","bm28360001","中华人民共和国贵阳海关网站","http://guiyang.customs.gov.cn","贵阳海关办公室","正常"
"38","bm28370001","中华人民共和国昆明海关网站","http://kunming.customs.gov.cn","昆明海关办公室","正常"
"39","bm28380001","中华人民共和国拉萨海关网站","http://lasa.customs.gov.cn","拉萨海关办公室","正常"
"40","bm28390001","中华人民共和国西安海关网站","http://xian.customs.gov.cn","中华人民共和国西安海关办公室","正常"
"41","bm28400001","中华人民共和国兰州海关网站","http://lanzhou.customs.gov.cn/","中华人民共和国兰州海关办公室","正常"
"42","bm28410001","中华人民共和国西宁海关网站","http://xining.customs.gov.cn","西宁海关办公室","正常"
"43","bm28420001","中华人民共和国银川海关网站","http://yinchuan.customs.gov.cn/ ","中华人民共和国银川海关办公室","正常"
"44","bm28430001","中华人民共和国乌鲁木齐海关网站","http://urumqi.customs.gov.cn","中华人民共和国乌鲁木齐海关办公室","正常"
