"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm64000012","国家烟草专卖局 中国烟草总公司","http://www.tobacco.gov.cn/","国家烟草专卖局","正常"
"2","bm64000013","国家烟草专卖局政务服务行政许可网上办理平台","https://zwfwdt.tobacco.gov.cn/cooperativeWeb/event/tab","国家烟草专卖局","正常"
"3","bm64010001","北京烟草门户网站","bj.tobacco.gov.cn","北京市烟草专卖局（公司）","正常"
"4","bm64020001","天津市烟草专卖局（中国烟草总公司天津市公司）","http：//tj.tobacco.gov.cn","天津市烟草专卖局","正常"
"5","bm64030001","河北省烟草专卖局 中国烟草总公司河北省公司","http://he.tobacco.gov.cn","河北省烟草专卖局","正常"
"6","bm64040009","山西省烟草专卖局（公司）","http://sx.tobacco.gov.cn","中国烟草总公司山西省公司","正常"
"7","bm64050001","内蒙古自治区烟草专卖局政府网站","http://nm.tobacco.gov.cn","内蒙古自治区烟草专卖局","正常"
"8","bm64060001","辽宁省烟草专卖局(公司)网站","http://ln.tobacco.gov.cn/serviceweb/","辽宁省烟草专卖局 办公室","正常"
"9","bm64070001","吉林省烟草专卖局","http://jl.tobacco.gov.cn","吉林省烟草专卖局","正常"
"10","bm64080001","黑龙江省烟草专卖局（公司）","http://hlj.tobacco.gov.cn/portal/index.htm","黑龙江省烟草专卖局（公司）","正常"
"11","bm64090001","上海市烟草专卖局网站","http://www.sh.tobacco.gov.cn/","上海市烟草专卖局","正常"
"12","bm64100010","江苏省烟草专卖局（中国烟草总公司江苏省公司）","http://js.tobacco.gov.cn/","江苏省烟草专卖局","正常"
"13","bm64110001","浙江烟草政务网"," https://zjyc.tobacco.gov.cn/","浙江省烟草专卖局","正常"
"14","bm64120017","安徽省烟草专卖局（公司）外部网站","http://ah.tobacco.gov.cn/","安徽省烟草专卖局（公司）办公室","正常"
"15","bm64130001","福建烟草网","fj.tobacco.gov.cn","福建省烟草专卖局（公司）","正常"
"16","bm64140001","江西省烟草专卖局外部网站","http://jx.tobacco.gov.cn/","江西省烟草专卖局","正常"
"17","bm64150002","山东省烟草专卖局（公司)网站","sd.tobacco.gov.cn","山东省烟草专卖局（公司）","正常"
"18","bm64160001","河南省烟草专卖局","https://ha.tobacco.gov.cn","河南省烟草专卖局","正常"
"19","bm64170002","湖北省烟草专卖局","https://hb.tobacco.gov.cn/","湖北省烟草专卖局","正常"
"20","bm64180001","湖南省烟草专卖局（公司）门户网站","hn.tobacco.gov.cn","湖南省烟草专卖局（公司）","正常"
"21","bm64190001","广东省烟草专卖局（中国烟草总公司广东省公司）网站","https://gd.tobacco.gov.cn/index.html","广东省烟草专卖局","正常"
"22","bm64200001","海南省烟草专卖局（公司）","https://hi.tobacco.gov.cn","海南省烟草专卖局（公司）","正常"
"23","bm64210003","广西壮族自治区烟草专卖局（公司）","http://gx.tobacco.gov.cn/gxwwcms/index/index.htm","广西壮族自治区烟草专卖局（公司）办公室","正常"
"24","bm64220001","四川省烟草专卖局（公司）外部网站","http://sc.tobacco.gov.cn","四川省烟草专卖局（公司）","正常"
"25","bm64230001","重庆市烟草专卖局网站","cq.tobacco.gov.cn","重庆市烟草专卖局（公司）","正常"
"26","bm64240002","贵州省烟草专卖局（公司）","http://gz.tobacco.gov.cn/","国家烟草专卖局","正常"
"27","bm64250001","云南烟草网站","http://yn.tobacco.gov.cn","云南省烟草专卖局（公司）","正常"
"28","bm64270001","陕西省烟草专卖局","http://sn.tobacco.gov.cn/","陕西省烟草专卖局","正常"
"29","bm64280001","甘肃省烟草专卖局（公司）","http://gs.tobacco.gov.cn","甘肃省烟草专卖局（公司）","正常"
"30","bm64290006","宁夏回族自治区烟草专卖局（公司）外网","https://nx.tobacco.gov.cn","宁夏回族自治区烟草专卖局（公司）","正常"
"31","bm64310001","大连烟草外网","http://dl.tobacco.gov.cn","中国烟草总公司大连市公司","正常"
"32","bm64320001","深圳市烟草专卖局（公司）外部网站","http://sz.tobacco.gov.cn/index/index.jsp","深圳市烟草专卖局（公司）","正常"
"33","bm64330001","青海省烟草专卖局门户网站","http://qh.tobacco.gov.cn","青海省烟草专卖局（公司）","正常"
