"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm17000002","生态环境部华北督察局","http://hbdc.mee.gov.cn/","中华人民共和国生态环境部","正常"
"2","bm17000003","生态环境部西南督察局","http://xndc.mee.gov.cn","中华人民共和国生态环境部","正常"
"3","bm17000004","生态环境部华南督察局","http://hndc.mee.gov.cn/","中华人民共和国生态环境部","正常"
"4","bm17000005","生态环境部西北督察局","http://xbdc.mee.gov.cn","中华人民共和国生态环境部","正常"
"5","bm17000006","生态环境部华东督察局","http://hddc.mee.gov.cn/","中华人民共和国生态环境部","正常"
"6","bm17000007","生态环境部西北核与辐射安全监督站","http://nwro.mee.gov.cn","中华人民共和国生态环境部","正常"
"7","bm17000008","生态环境部华北核与辐射安全监督站","http://nro.mee.gov.cn/","中华人民共和国生态环境部","正常"
"8","bm17000009","中华人民共和国生态环境部政府网站","http://www.mee.gov.cn/","中华人民共和国生态环境部","正常"
"9","bm17000012","生态环境部东北督察局","http://dbdc.mee.gov.cn","中华人民共和国生态环境部","正常"
"10","bm17000013","生态环境部华南核与辐射安全监督站","http://scro.mee.gov.cn/","中华人民共和国生态环境部","正常"
"11","bm17000014","生态环境部西南核与辐射安全监督站部门网站","http://swnro.mee.gov.cn/","中华人民共和国生态环境部","正常"
"12","bm17000015","生态环境部东北核与辐射安全监督站","http://nero.mee.gov.cn/","中华人民共和国生态环境部","正常"
"13","bm17000016","国家核安全局","http://nnsa.mee.gov.cn/","中华人民共和国生态环境部","正常"
"14","bm17000017","生态环境部华东核与辐射安全监督站","http://ecro.mee.gov.cn","中华人民共和国生态环境部","正常"
"15","bm17000018","生态环境部太湖流域东海海域生态环境监督管理局门户网站","http://thdhjg.mee.gov.cn/","中华人民共和国生态环境部","正常"
"16","bm17000019","生态环境部松辽流域生态环境监督管理局","http://sljg.mee.gov.cn/","中华人民共和国生态环境部","正常"
"17","bm17000020","生态环境部海河流域北海海域生态环境监督管理局网站","http://hhbhjg.mee.gov.cn","生态环境部办公厅","正常"
"18","bm17000021","生态环境部长江流域生态环境监督管理局","https://cjjg.mee.gov.cn/","中华人民共和国生态环境部","正常"
"19","bm17000022","生态环境部黄河流域生态环境监督管理局网站","https://huanghejg.mee.gov.cn","中华人民共和国生态环境部办公厅","正常"
"20","bm17000023","生态环境部珠江流域南海海域生态环境监督管理局网站","https://zjnhjg.mee.gov.cn/","中华人民共和国生态环境部","正常"
"21","bm17000024","生态环境部淮河流域生态环境监督管理局网站","https://huaihejg.mee.gov.cn","中华人民共和国生态环境部办公厅","正常"
