"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm34000003","国家矿山安全监察局湖北局门户网站","http://hub.chinamine-safety.gov.cn/","国家矿山安全监察局湖北局","正常"
"2","bm34000004","国家矿山安全监察局","www.chinamine-safety.gov.cn","国家矿山安全监察局","正常"
"3","bm34000005","国家矿山安全监察局广西局","http://gx.chinamine-safety.gov.cn/","国家矿山安全监察局广西局","正常"
"4","bm34000006","国家矿山安全监察局吉林局","http://jl.chinamine-safety.gov.cn/","国家矿山安全监察局吉林局","正常"
"5","bm34000007","国家矿山安全监察局宁夏局","http://nx.chinamine-safety.gov.cn/","国家矿山安全监察局宁夏局","正常"
"6","bm34000008","国家矿山安全监察局黑龙江局","https://hlj.chinamine-safety.gov.cn/web/webIndex.shtml","国家矿山安全监察局综合司","正常"
"7","bm34010001","国家矿山安全监察局河北局网站","https://hb.chinamine-safety.gov.cn","国家矿山安全监察局河北局办公室","正常"
"8","bm34020001","国家矿山安全监察局山西局政府网站","http://shanxi.chinamine-safety.gov.cn","国家矿山安全监察局山西局","正常"
"9","bm34030003","国家矿山安全监察局内蒙古局","http://nmg.chinamine-safety.gov.cn/","国家矿山安全监察局内蒙古局","正常"
"10","bm34040004","国家矿山安全监察局辽宁局政府网站","http://ln.chinamine-safety.gov.cn","国家矿山安全监察局辽宁局","正常"
"11","bm34080003","国家矿山安全监察局安徽局","http://ah.chinamine-safety.gov.cn/","国家矿山安全监察局安徽局","正常"
"12","bm34090004","国家矿山安全监察局江西局","http://jx.chinamine-safety.gov.cn","国家矿山安全监察局江西局","正常"
"13","bm34100003","国家矿山安全监察局山东局","sd.chinamine-safety.gov.cn","国家矿山安全监察局山东局","正常"
"14","bm34110003","国家矿山安全监察局河南局","http://hn.chinamine-safety.gov.cn","国家矿山安全监察局河南局办公室","正常"
"15","bm34120002","国家矿山安全监察局湖南局","http://hun.chinamine-safety.gov.cn","国家矿山安全监察局湖南局","正常"
"16","bm34130005","国家矿山安全监察局重庆局网站","http://cq.chinamine-safety.gov.cn/","国家矿山安全监察局重庆局","正常"
"17","bm34160004","国家矿山安全监察局云南局","http://yn.chinamine-safety.gov.cn","国家矿山安全监察局云南局","正常"
"18","bm34170003","国家矿山安全监察局陕西局网站","http://shaanxi.chinamine-safety.gov.cn/","国家矿山安全监察局陕西局","正常"
"19","bm34180002","国家矿山安全监察局甘肃局政府网站","http://gs.chinamine-safety.gov.cn/web/webIndex.shtml","国家矿山安全监察局甘肃局","正常"
"20","bm34200001","国家矿山安全监察局新疆局","http://xj.chinamine-safety.gov.cn","国家矿山安全监察局新疆局统计中心","正常"
"21","bm75000001","国家矿山安全监察局贵州局","https://gz.chinamine-safety.gov.cn/","国家矿山安全监察局","正常"
"22","bm75000002","国家矿山安全监察局四川局","http://sc.chinamine-safety.gov.cn/","国家矿山安全监察局","正常"
"23","bm75000003","国家矿山安全监察局广东局","http://gd.chinamine-safety.gov.cn","国家矿山安全监察局综合司","正常"
"24","bm75000004","国家矿山安全监察局青海局","https://qh.chinamine-safety.gov.cn/","国家矿山安全监察局","正常"
