"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm29000002","国家税务总局网站","http://www.chinatax.gov.cn/","国家税务总局","正常"
"2","bm29010003","国家税务总局北京市税务局","http://beijing.chinatax.gov.cn/bjswj","国家税务总局北京市税务局第四税务分局","正常"
"3","bm29020004","国家税务总局天津市税务局网站","http://tianjin.chinatax.gov.cn","国家税务总局天津市税务局办公室","正常"
"4","bm29030010","国家税务总局河北省税务局","http://hebei.chinatax.gov.cn","国家税务总局河北省税务局","正常"
"5","bm29040001","国家税务总局山西省税务局","http://shanxi.chinatax.gov.cn","国家税务总局山西省税务局","正常"
"6","bm29050005","国家税务总局内蒙古自治区税务局","http://neimenggu.chinatax.gov.cn","国家税务总局内蒙古自治区税务局","正常"
"7","bm29060013","国家税务总局辽宁省税务局","http://liaoning.chinatax.gov.cn","国家税务总局辽宁省税务局","正常"
"8","bm29070007","国家税务总局吉林省税务局","http://jilin.chinatax.gov.cn","国家税务总局吉林省税务局","正常"
"9","bm29080012","国家税务总局黑龙江省税务局","http://heilongjiang.chinatax.gov.cn/","国家税务总局黑龙江省税务局","正常"
"10","bm29090019","国家税务总局上海市税务局网站","shanghai.chinatax.gov.cn","国家税务总局上海市税务局","正常"
"11","bm29100010","国家税务总局江苏省税务局网站","http://jiangsu.chinatax.gov.cn/","国家税务总局江苏省税务局税收宣传中心","正常"
"12","bm29110072","国家税务总局浙江省税务局","http://zhejiang.chinatax.gov.cn","国家税务总局浙江省税务局办公室","正常"
"13","bm29120006","国家税务总局安徽省税务局","http://anhui.chinatax.gov.cn/","国家税务总局安徽省税务局纳税服务和宣传中心","正常"
"14","bm29130001","国家税务总局福建省税务局","http://fujian.chinatax.gov.cn","国家税务总局福建省税务局","正常"
"15","bm29140135","国家税务总局江西省税务局","http://jiangxi.chinatax.gov.cn","国家税务总局江西省税务局","正常"
"16","bm29150011","国家税务总局山东省税务局","http://shandong.chinatax.gov.cn","国家税务总局山东省税务局","正常"
"17","bm29160021","国家税务总局河南省税务局","http://henan.chinatax.gov.cn","国家税务总局河南省税务局","正常"
"18","bm29170017","国家税务总局湖北省税务局","http://hubei.chinatax.gov.cn","国家税务总局湖北省税务局 纳税服务和宣传中心","正常"
"19","bm29180017","国家税务总局湖南省税务局","http://hunan.chinatax.gov.cn","国家税务总局湖南省税务局","正常"
"20","bm29190001","国家税务总局广东省税务局网站","http://guangdong.chinatax.gov.cn","国家税务总局广东省税务局办公室","正常"
"21","bm29200024","国家税务总局广西壮族自治区税务局网站","http://guangxi.chinatax.gov.cn/","国家税务总局广西壮族自治区税务局","正常"
"22","bm29210001","国家税务总局海南省税务局","http://hainan.chinatax.gov.cn/","国家税务总局海南省税务局","正常"
"23","bm29220015","国家税务总局重庆市税务局","http://chongqing.chinatax.gov.cn/","国家税务总局重庆市税务局","正常"
"24","bm29230019","国家税务总局四川省税务局网站","http://sichuan.chinatax.gov.cn","国家税务总局四川省税务局办公室","正常"
"25","bm29240003","国家税务总局贵州省税务局网站","http://guizhou.chinatax.gov.cn/","国家税务总局贵州省税务局","正常"
"26","bm29250001","国家税务总局云南省税务局","http://yunnan.chinatax.gov.cn","国家税务总局云南省税务局纳税服务和宣传中心","正常"
"27","bm29260003","国家税务总局西藏自治区税务局网站","https://xizang.chinatax.gov.cn","国家税务总局西藏自治区税务局纳税服务中心（税收宣传中心）","正常"
"28","bm29270146","国家税务总局陕西省税务局网站","http://shaanxi.chinatax.gov.cn","国家税务总局陕西省税务局","正常"
"29","bm29280001","国家税务总局甘肃省税务局门户网站","http://gansu.chinatax.gov.cn/","国家税务总局甘肃省税务局","正常"
"30","bm29290001","国家税务总局青海省税务局","http://qinghai.chinatax.gov.cn/","国家税务总局青海省税务局","正常"
"31","bm29300003","国家税务总局宁夏回族自治区税务局","http://ningxia.chinatax.gov.cn/","国家税务总局宁夏回族自治区税务局","正常"
"32","bm29310001","国家税务总局新疆维吾尔自治区税务局网站","http://xinjiang.chinatax.gov.cn/","国家税务总局新疆维吾尔自治区税务局","正常"
"33","bm29320001","国家税务总局大连市税务局网站","http://dalian.chinatax.gov.cn/","国家税务总局大连市税务局纳税服务中心","正常"
"34","bm29330003","国家税务总局宁波市税务局网站","http://ningbo.chinatax.gov.cn","国家税务总局宁波市税务局","正常"
"35","bm29340001","国家税务总局厦门市税务局","http://xiamen.chinatax.gov.cn","国家税务总局厦门市税务局纳税服务中心（税收宣传中心）","正常"
"36","bm29350001","国家税务总局青岛市税务局网站","http://qingdao.chinatax.gov.cn/","国家税务总局青岛市税务局纳税服务中心（税收宣传中心）","正常"
"37","bm29360001","国家税务总局深圳市税务局网站","http://shenzhen.chinatax.gov.cn/","国家税务总局深圳市税务局","正常"
