"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm36000002","国家统计局网站（中国统计信息网）","www.stats.gov.cn","国家统计局统计资料管理中心","正常"
"2","bm36000003","国家统计局河南调查总队","http://hazd.stats.gov.cn/","国家统计局河南调查总队","正常"
"3","bm36000008","国家统计局天津调查总队门户网","http://tjzd.stats.gov.cn/","国家统计局天津调查总队","正常"
"4","bm36000012","国家统计局安徽调查总队公众服务网","http://ahzd.stats.gov.cn","国家统计局安徽调查总队","正常"
"5","bm36000031","国家统计局新疆调查总队","http://xjzd.stats.gov.cn","国家统计局新疆调查总队","正常"
"6","bm36000038","江苏调查总队","https://jszd.stats.gov.cn","国家统计局江苏调查总队","正常"
"7","bm36000046","浙江调查总队","http://zjzd.stats.gov.cn/","国家统计局浙江调查总队","正常"
"8","bm36000050","国家统计局广东调查总队公众网","http://gdzd.stats.gov.cn/","国家统计局广东调查总队","正常"
"9","bm36000054","国家统计局陕西调查总队门户网站","http://snzd.stats.gov.cn","国家统计局陕西调查总队","正常"
"10","bm36000055","湖南国调信息网","http://hnzd.stats.gov.cn","国家统计局湖南调查总队","正常"
"11","bm36000066","国家统计局云南调查总队","http://ynzd.stats.gov.cn ","国家统计局云南调查总队","正常"
"12","bm36000068","国家统计局山西调查总队","sxzd.stats.gov.cn","国家统计局山西调查总队","正常"
"13","BT00000056","国家统计局兵团调查总队","http://dczd.xjbt.gov.cn/","国家统计局兵团调查总队","正常"
