"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm62000001","国家能源局山西监管办公室门户网站","http://sxb.nea.gov.cn/","国家能源局山西监管办公室","正常"
"2","bm62000002","国家能源局门户网站","http://www.nea.gov.cn","国家能源局","正常"
"3","bm62000003","云南能源监管办门户网站","http://ynb.nea.gov.cn/","国家能源局云南监管办公室","正常"
"4","bm62000004","贵州能源监管办门户网站","http://gzb.nea.gov.cn/","国家能源局贵州监管办公室","正常"
"5","bm62000005","甘肃能源监管办门户网站","http://gsb.nea.gov.cn/","国家能源局甘肃监管办公室","正常"
"6","bm62000007","新疆能源监管办门户网站","http://xjb.nea.gov.cn/","国家能源局新疆监管办公室","正常"
"7","bm62000008","湖南能源监管办门户网站","http://hunb.nea.gov.cn/","国家能源局湖南监管办公室","正常"
"8","bm62000009","华中能源监管局门户网站","http://hzj.nea.gov.cn/","国家能源局华中监管局","正常"
"9","bm62000010","西北能源监管局门户网站","http://xbj.nea.gov.cn/","国家能源局西北监管局","正常"
"10","bm62000011","河南能源监管办门户网站","http://henb.nea.gov.cn","国家能源局河南监管办公室","正常"
"11","bm62000012","山东能源监管办门户网站","http://sdb.nea.gov.cn","国家能源局山东监管办公室","正常"
"12","bm62000013","四川能源监管办门户网站","http://scb.nea.gov.cn","国家能源局四川监管办公室","正常"
"13","bm62000014","南方能源监管局门户网站","http://nfj.nea.gov.cn/","国家能源局南方监管局","正常"
"14","bm62000015","华北能源监管局门户网站","http://hbj.nea.gov.cn/","国家能源局华北监管局","正常"
"15","bm62000016","华东能源监管局门户网站","http://www.ecerb.gov.cn/","国家能源局华东监管局","正常"
"16","bm62000017","福建能源监管办门户网站","http://fjb.nea.gov.cn","国家能源局福建监管办公室","正常"
"17","bm62000018","浙江能源监管办门户网站","http://zjb.nea.gov.cn","国家能源局浙江监管办公室","正常"
"18","bm62000019","江苏能源监管办网站","http://jsb.nea.gov.cn/","国家能源局江苏监管办公室","正常"
"19","bm62000020","东北能源监管局门户网站","http://dbj.nea.gov.cn","国家能源局东北监管局","正常"
"20","bm62000021","国家能源局电力可靠性管理和工程质量监督中心门户网站","http://prpq.nea.gov.cn","国家能源局","正常"
"21","bm62000023","国家能源局大坝安全监察中心门户网站","https://dam.nea.gov.cn","国家能源局","正常"
