"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm16000001","自然资源部门户网站","http://www.mnr.gov.cn/","自然资源部办公厅","正常"
"2","bm16000002","中国地质调查局","http://www.cgs.gov.cn","中国地质调查局","正常"
"3","bm67000001","国家海洋局极地考察办公室官方网站","chinare.mnr.gov.cn","国家海洋局极地考察办公室","正常"
"4","bm67010001","自然资源部东海局网站","http://ecs.mnr.gov.cn/","自然资源部东海局","正常"
"5","bm67020001","自然资源部北海局互联网网站","ncs.mnr.gov.cn","自然资源部北海局","正常"
"6","bm67030001","自然资源部南海局政务网站","http://scs.mnr.gov.cn","自然资源部南海局","正常"
"7","bm68000002","四川测绘地理信息局","http://scsm.mnr.gov.cn/","四川测绘地理信息局","正常"
"8","bm68000003","黑龙江(省)测绘地理信息局","http://hlsm.mnr.gov.cn","黑龙江测绘地理信息局","正常"
"9","bm68000004","海南测绘地理信息局","http://hism.mnr.gov.cn/","海南测绘地理信息局","正常"
"10","bm68000005","陕西测绘地理信息局","http://snsm.mnr.gov.cn/","陕西测绘地理信息局","正常"
