"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm71000001","国家邮政局网","http://www.spb.gov.cn/","国家邮政局办公室","正常"
"2","bm71010001","北京市邮政管理局网","http://bj.spb.gov.cn/","北京市邮政管理局办公室","正常"
"3","bm71020001","天津市邮政管理局网","http://tj.spb.gov.cn/","天津市邮政管理局办公室","正常"
"4","bm71030012","河北省邮政管理局网","http://he.spb.gov.cn","河北省邮政管理局办公室","正常"
"5","bm71040012","山西省邮政管理局网","http://sx.spb.gov.cn/","山西省邮政管理局办公室","正常"
"6","bm71050013","内蒙古自治区邮政管理局网","http://nm.spb.gov.cn/","内蒙古自治区邮政管理局办公室","正常"
"7","bm71060014","辽宁省邮政管理局网","http://ln.spb.gov.cn/","辽宁省邮政管理局办公室","正常"
"8","bm71070010","吉林省邮政管理局网","http://jl.spb.gov.cn","吉林省邮政管理局办公室","正常"
"9","bm71080014","黑龙江省邮政管理局网","http://hl.spb.gov.cn/","黑龙江省邮政管理局办公室","正常"
"10","bm71090001","上海市邮政管理局网","http://sh.spb.gov.cn/","上海市邮政管理局办公室","正常"
"11","bm71100005","江苏省邮政管理局网","http://js.spb.gov.cn/","江苏省邮政管理局办公室","正常"
"12","bm71110011","浙江省邮政管理局网","http://zj.spb.gov.cn/","浙江省邮政管理局办公室","正常"
"13","bm71120011","安徽省邮政管理局网","http://ah.spb.gov.cn/","安徽省邮政管理局办公室","正常"
"14","bm71130010","福建省邮政管理局网","http://fj.spb.gov.cn/","福建省邮政管理局办公室","正常"
"15","bm71140012","江西省邮政管理局网","http://jx.spb.gov.cn/","江西省邮政管理局办公室","正常"
"16","bm71150001","山东省邮政管理局网","http://sd.spb.gov.cn","山东省邮政管理局办公室","正常"
"17","bm71160017","河南省邮政管理局网","http://ha.spb.gov.cn/","河南省邮政管理局办公室","正常"
"18","bm71170001","湖北省邮政管理局网","http://hb.spb.gov.cn/","湖北省邮政管理局办公室","正常"
"19","bm71180015","湖南省邮政管理局网","http://hn.spb.gov.cn/","湖南省邮政管理局办公室","正常"
"20","bm71190021","广东省邮政管理局网","http://gd.spb.gov.cn/","广东省邮政管理局办公室","正常"
"21","bm71200015","广西壮族自治区邮政管理局网","http://gx.spb.gov.cn/","广西壮族自治区邮政管理局办公室","正常"
"22","bm71210001","海南省邮政管理局网","http://hi.spb.gov.cn/","海南省邮政管理局办公室","正常"
"23","bm71220001","重庆市邮政管理局网","http://cq.spb.gov.cn/","重庆市邮政管理局办公室","正常"
"24","bm71230001","四川省邮政管理局网","http://sc.spb.gov.cn/","四川省邮政管理局办公室","正常"
"25","bm71240001","贵州省邮政管理局网","http://gz.spb.gov.cn/","贵州省邮政管理局办公室","正常"
"26","bm71250017","云南省邮政管理局网","http://yn.spb.gov.cn/","云南省邮政管理局办公室","正常"
"27","bm71260002","西藏自治区邮政管理局网","http://xz.spb.gov.cn/","西藏自治区邮政管理局办公室","正常"
"28","bm71270010","陕西省邮政管理局网","http://sn.spb.gov.cn/","陕西省邮政管理局办公室","正常"
"29","bm71280015","甘肃省邮政管理局网","http://gs.spb.gov.cn/","甘肃省邮政管理局办公室","正常"
"30","bm71290009","青海省邮政管理局网","http://qh.spb.gov.cn/","青海省邮政管理局办公室","正常"
"31","bm71300001","宁夏回族自治区邮政管理局网","http://nx.spb.gov.cn/","宁夏回族自治区邮政管理局办公室","正常"
"32","bm71310015","新疆维吾尔自治区邮政管理局网","http://xj.spb.gov.cn/","新疆维吾尔自治区邮政管理局办公室","正常"
