"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm02000004","外交部网站","http://www.fmprc.gov.cn/;http://www.mfa.gov.cn/","外交部办公厅","正常"
"2","bm04000007","国家发展改革委门户网站","http://www.ndrc.gov.cn","国家发展改革委办公厅","正常"
"3","bm05000001","教育部政府门户网站","http://www.moe.gov.cn","教育部办公厅","正常"
"4","bm06000001","中华人民共和国科学技术部","https://www.most.gov.cn/","科技部办公厅","正常"
"5","bm07000001","中华人民共和国工业和信息化部网站","https://www.miit.gov.cn","工业和信息化部","正常"
"6","bm08000014","国家民委网站","http://www.neac.gov.cn","国家民委舆情中心","正常"
"7","bm09000004","国家消防救援局","http://www.119.gov.cn","国家消防救援局","正常"
"8","bm09000013","中华人民共和国公安部","http://www.mps.gov.cn","公安部办公厅","正常"
"9","bm12000003","民政部门户网站","http://www.mca.gov.cn/","民政部办公厅","正常"
"10","bm13000002","司法部网站","http://www.moj.gov.cn","司法部办公厅","正常"
"11","bm14000001","中华人民共和国财政部","http://www.mof.gov.cn","中华人民共和国财政部办公厅","正常"
"12","bm15000008","中华人民共和国人力资源和社会保障部","http://www.mohrss.gov.cn/","中华人民共和国人力资源和社会保障部","正常"
"13","bm16000001","自然资源部门户网站","http://www.mnr.gov.cn/","自然资源部办公厅","正常"
"14","bm17000009","中华人民共和国生态环境部政府网站","http://www.mee.gov.cn/","中华人民共和国生态环境部","正常"
"15","bm18000002","中华人民共和国住房和城乡建设部","http://www.mohurd.gov.cn/","住房城乡建设部","正常"
"16","bm19000004","交通运输部政府网站","https://www.mot.gov.cn/","交通运输部政策研究室","正常"
"17","bm20000001","中华人民共和国水利部网站","http://www.mwr.gov.cn/","水利部办公厅","正常"
"18","bm21000007","中华人民共和国农业农村部","www.moa.gov.cn","中华人民共和国农业农村部","正常"
"19","bm22000001","中华人民共和国商务部门户网站","http://www.mofcom.gov.cn","商务部电子商务和信息化司","正常"
"20","bm23000001","文化和旅游部政府门户网站","http://www.mct.gov.cn","中华人民共和国文化和旅游部办公厅","正常"
"21","bm24000006","中华人民共和国国家卫生健康委员会","http://www.nhc.gov.cn","中华人民共和国国家卫生健康委员会","正常"
"22","bm25000001","中国人民银行","http://www.pbc.gov.cn/","中国人民银行","正常"
"23","bm26000001","审计署门户网站","http://www.audit.gov.cn","审计署办公厅","正常"
"24","bm27000004","国务院国有资产监督管理委员会网站","http://www.sasac.gov.cn","国资委信息中心","正常"
"25","bm28000001","中国海关门户网站","http://www.customs.gov.cn","海关总署办公厅","正常"
"26","bm29000002","国家税务总局网站","http://www.chinatax.gov.cn/","国家税务总局","正常"
"27","bm30000012","国家市场监督管理总局","http://www.samr.gov.cn/","市场监管总局办公厅","正常"
"28","bm33000001","国家体育总局","http://www.sport.gov.cn","国家体育总局办公厅","正常"
"29","bm34000001","中华人民共和国应急管理部","http://www.mem.gov.cn/","中华人民共和国应急管理部","正常"
"30","bm34000004","国家矿山安全监察局","www.chinamine-safety.gov.cn","国家矿山安全监察局","正常"
"31","bm35000001","国家药品监督管理局","http://www.nmpa.gov.cn","国家药品监督管理局综合和规划财务司","正常"
"32","bm36000002","国家统计局网站（中国统计信息网）","www.stats.gov.cn","国家统计局统计资料管理中心","正常"
"33","bm37000013","国家林业和草原局政府门户网","http://www.forestry.gov.cn","国家林业和草原局办公室","正常"
"34","bm38000007","国家知识产权局","https://www.cnipa.gov.cn","国家知识产权局","正常"
"35","bm41000001","国务院参事室、中央文史研究馆网站","http://www.counsellor.gov.cn/","国务院参事室","正常"
"36","bm42000003","国家机关事务管理局（全国机关事务网）","http://www.ggj.gov.cn/","国家机关事务管理局办公室","正常"
"37","bm44000001","国务院港澳事务办公室","http://www.hmo.gov.cn/","国务院港澳事务办公室","正常"
"38","bm48000002","中国科学院","http://www.cas.cn","中国科学院","正常"
"39","bm49000001","中国社会科学院官网","www.cass.cn","中国社会科学院","正常"
"40","bm50000001","中国工程院","http://www.cae.cn","中国工程院办公厅","正常"
"41","bm51000001","国务院发展研究中心门户网站","http://www.drc.gov.cn/","国务院发展研究中心信息中心","正常"
"42","bm53000001","中国地震局","http://www.cea.gov.cn/","中国地震局","正常"
"43","bm54000001","中国气象网","http://www.cma.gov.cn/","中国气象局","正常"
"44","bm55000001","国家金融监督管理总局网站","http://www.cbirc.gov.cn","国家金融监督管理总局办公厅","正常"
"45","bm56000001","中国证监会政府网站","http://www.csrc.gov.cn/pub/newsite/","中国证监会办公厅","正常"
"46","bm59000001","国家自然科学基金委员会","www.nsfc.gov.cn","国家自然科学基金委员会办公室","正常"
"47","bm60000001","国家信访局","http://www.gjxfj.gov.cn/","国家信访局","正常"
"48","bm61000001","国家粮食和物资储备局政府网站","www.lswz.gov.cn","国家粮食和物资储备局","正常"
"49","bm62000002","国家能源局门户网站","http://www.nea.gov.cn","国家能源局","正常"
"50","bm63000003","国家国防科技工业局","www.sastind.gov.cn","国家国防科技工业局","正常"
"51","bm64000012","国家烟草专卖局 中国烟草总公司","http://www.tobacco.gov.cn/","国家烟草专卖局","正常"
"52","bm69000001","国家铁路局","http://www.nra.gov.cn","国家铁路局","正常"
"53","bm70000001","中国民用航空局","http://www.caac.gov.cn/","中国民用航空局综合司","正常"
"54","bm71000001","国家邮政局网","http://www.spb.gov.cn/","国家邮政局办公室","正常"
"55","bm72000002","国家文物局","http://www.ncha.gov.cn","国家文物局","正常"
"56","bm73000001","国家中医药管理局政府网站","http://www.satcm.gov.cn/","国家中医药管理局","正常"
"57","bm74000001","国家外汇管理局政府网站","http://www.safe.gov.cn		","国家外汇管理局","正常"
"58","bm80000001","中共中央台湾工作办公室国务院台湾事务办公室","http://www.gwytb.gov.cn/","中共中央台湾工作办公室、国务院台湾事务办公室信息中心","正常"
"59","bm83000001","国家医疗保障局","http://www.nhsa.gov.cn/","国家医疗保障局办公厅","正常"
"60","bm84000001","中华人民共和国退役军人事务部","http://www.mva.gov.cn","退役军人事务部","正常"
"61","bm85000001","国家国际发展合作署","http://www.cidca.gov.cn/","bm8500","正常"
"62","bm87000001","北斗卫星导航系统","http://www.beidou.gov.cn","中国卫星导航系统管理办公室","正常"
"63","bm90000001","国家数据局互联网门户网站","https://www.nda.gov.cn","国家数据局","正常"
