id,schoolName,location,tags,urls,cert
1,北京工业大学,北京朝阳区,普通本科;理工类;公办;211工程;双一流,http://admissions.bjut.edu.cn/;http://www.bjut.edu.cn/,NULL
2,北京大学,北京海淀区,普通本科;综合类;公办;211工程;985工程;双一流,http://www.gotopku.cn;https://www.pku.edu.cn//,NULL
3,内蒙古大学,内蒙古呼和浩特市,普通本科;综合类;公办;211工程;双一流;18所参照,http://zhaosheng.imu.edu.cn/;http://www.imu.edu.cn/,NULL
4,大连海事大学,辽宁大连市,普通本科;理工类;公办;211工程;双一流,http://bkzs.dlmu.edu.cn;https://www.dlmu.edu.cn/,NULL
5,哈尔滨工业大学,黑龙江哈尔滨市,普通本科;理工类;公办;211工程;985工程;双一流,https://zsb.hit.edu.cn/;http://www.hit.edu.cn,NULL
6,云南大学,云南昆明市,普通本科;综合类;公办;211工程;双一流,http://zsb.ynu.edu.cn/;http://www.ynu.edu.cn/,NULL
7,长安大学,陕西西安市,普通本科;理工类;公办;211工程;双一流,http://zsb.chd.edu.cn;http://www.chd.edu.cn/,NULL
8,西北大学,陕西西安市,普通本科;综合类;公办;211工程;双一流,http://zsb.nwu.edu.cn/;http://www.nwu.edu.cn/,NULL
9,北京交通大学,北京海淀区,普通本科;理工类;公办;211工程;双一流,https://zsw.bjtu.edu.cn;https://www.bjtu.edu.cn/,NULL
10,北京外国语大学,北京海淀区,普通本科;语言类;公办;211工程;双一流,http://joinus.bfsu.edu.cn;http://www.bfsu.edu.cn/,NULL
11,中央音乐学院,北京西城区,普通本科;艺术类;公办;211工程;双一流;30所独立,http://zhaoban.ccom.edu.cn/login;JSESSIONID=54901193046a4433b0ff48dffa685a63;http://www.ccom.edu.cn/,NULL
12,河北工业大学,天津北辰区,普通本科;理工类;公办;211工程;双一流,https://zs.hebut.edu.cn/;http://www.hebut.edu.cn/,NULL
13,武汉大学,湖北武汉市,普通本科;综合类;公办;211工程;985工程;双一流,http://aoff.whu.edu.cn/;http://www.whu.edu.cn/,NULL
14,北京林业大学,北京海淀区,普通本科;农林类;公办;211工程;双一流,http://zsb.bjfu.edu.cn/;http://www.bjfu.edu.cn/,NULL
15,湖南大学,湖南长沙市,普通本科;综合类;公办;211工程;985工程;双一流,http://admi.hnu.edu.cn;http://www.hnu.edu.cn/,NULL
16,中央民族大学,北京海淀区,普通本科;民族类;公办;211工程;985工程;双一流;18所参照,http://zb.muc.edu.cn;https://www.muc.edu.cn/,NULL
17,中国人民大学,北京海淀区,普通本科;综合类;公办;211工程;985工程;双一流,http://rdzs.ruc.edu.cn/cms/;https://www.ruc.edu.cn,NULL
18,北京航空航天大学,北京海淀区,普通本科;理工类;公办;211工程;985工程;双一流,http://zsjyc.buaa.edu.cn;https://www.buaa.edu.cn/,NULL
19,北京邮电大学,北京海淀区,普通本科;理工类;公办;211工程;双一流,https://zsb.bupt.edu.cn/#1307;http://www.bupt.edu.cn,NULL
20,北京中医药大学,北京朝阳区,普通本科;医药类;公办;211工程;双一流,http://bkzs.bucm.edu.cn;http://www.bucm.edu.cn/,NULL
21,辽宁大学,辽宁沈阳市,普通本科;综合类;公办;211工程;双一流,http://zs.lnu.edu.cn/;http://www.lnu.edu.cn,NULL
22,西南交通大学,四川成都市,普通本科;理工类;公办;211工程;双一流,https://zhaosheng.swjtu.edu.cn/;http://www.swjtu.edu.cn/,NULL
23,北京师范大学,北京海淀区,普通本科;师范类;公办;211工程;985工程;双一流,https://admission.bnu.edu.cn/;http://www.bnu.edu.cn,NULL
24,对外经济贸易大学,北京朝阳区,普通本科;财经类;公办;211工程;双一流,http://zhaosheng.uibe.edu.cn;http://www.uibe.edu.cn/,NULL
25,河北大学,河北保定市,普通本科;综合类;公办,https://zhaoban.hbu.edu.cn/index;http://www.hbu.edu.cn/,NULL
26,河北科技大学,河北石家庄市,普通本科;理工类;公办,https://bkzs.hebust.edu.cn/;https://www.hebust.edu.cn/,NULL
27,河北经贸大学,河北石家庄市,普通本科;财经类;公办,https://zhaosheng.hueb.edu.cn/index.jsp;https://www.hueb.edu.cn/,NULL
28,西安电子科技大学,陕西西安市,普通本科;理工类;公办;211工程;双一流,http://zsb.xidian.edu.cn;https://www.xidian.edu.cn/,NULL
29,湖南师范大学,湖南长沙市,普通本科;师范类;公办;211工程;双一流,http://zsb.hunnu.edu.cn;http://www.hunnu.edu.cn/,NULL
30,南开大学,天津南开区,普通本科;综合类;公办;211工程;985工程;双一流,http://zsb.nankai.edu.cn;https://www.nankai.edu.cn/,NULL
31,天津大学,天津南开区,普通本科;综合类;公办;211工程;985工程;双一流,http://zs.tju.edu.cn/;http://www.tju.edu.cn/,NULL
32,中国海洋大学,山东青岛市,普通本科;综合类;公办;211工程;985工程;双一流,http://bkzs.ouc.edu.cn;http://www.ouc.edu.cn/,NULL
33,郑州大学,河南郑州市,普通本科;综合类;公办;211工程;双一流,http://ao.zzu.edu.cn;http://www.zzu.edu.cn/,NULL
34,合肥工业大学,安徽合肥市,普通本科;理工类;公办;211工程;双一流,http://bkzs.hfut.edu.cn;http://www.hfut.edu.cn/,NULL
35,滨州医学院,山东烟台市,普通本科;医药类;公办,http://zb.bzmc.edu.cn/;http://www.bzmc.edu.cn/,NULL
36,德州学院,山东德州市,普通本科;综合类;公办,http://zsw.dzu.edu.cn/index.htm;http://www.dzu.edu.cn/,NULL
37,中国科学技术大学,安徽合肥市,普通本科;综合类;公办;211工程;985工程;双一流,http://zsb.ustc.edu.cn;https://www.ustc.edu.cn/,NULL
38,安徽大学,安徽合肥市,普通本科;综合类;公办;211工程;双一流,http://zsb.ahu.edu.cn;http://www.ahu.edu.cn/,NULL
39,安徽理工大学,安徽淮南市,普通本科;理工类;公办,http://zs.aust.edu.cn;http://www.aust.edu.cn/,NULL
40,安徽工业大学,安徽马鞍山市,普通本科;理工类;公办,http://zs.ahut.edu.cn;http://www.ahut.edu.cn/,NULL
41,安徽农业大学,安徽合肥市,普通本科;农林类;公办,http://zsb.ahau.edu.cn/;http://www.ahau.edu.cn,NULL
42,济南大学,山东济南市,普通本科;综合类;公办,http://admission.ujn.edu.cn/;https://www.ujn.edu.cn/,NULL
43,安徽医科大学,安徽合肥市,普通本科;医药类;公办,http://zs.ahmu.edu.cn/;http://www.ahmu.edu.cn/,NULL
44,同济大学,上海杨浦区,普通本科;综合类;公办;211工程;985工程;双一流,https://bkzs.tongji.edu.cn/;http://www.tongji.edu.cn,NULL
45,新疆大学,新疆乌鲁木齐市,普通本科;综合类;公办;211工程;双一流,http://welcome.xju.edu.cn/web;http://www.xju.edu.cn,NULL
46,上海交通大学医学院,上海黄浦区,普通本科;医药类;公办;211工程;985工程;双一流,https://www.shsmu.edu.cn/ygzs/;https://www.shsmu.edu.cn/,NULL
47,上海大学,上海宝山区,普通本科;综合类;公办;211工程;双一流;18所参照,https://bkzsw.shu.edu.cn/;https://www.shu.edu.cn/,NULL
48,南京航空航天大学,江苏南京市,普通本科;理工类;公办;211工程;双一流,http://zs.nuaa.edu.cn;http://www.nuaa.edu.cn/,NULL
49,天津医科大学,天津和平区,普通本科;医药类;公办;211工程;双一流,http://www.tmu.edu.cn/bkzs/;http://www.tmu.edu.cn/,NULL
50,天津师范大学,天津西青区,普通本科;师范类;公办,http://zsb.tjnu.edu.cn/;http://www.tjnu.edu.cn/,NULL
51,天津工业大学,天津西青区,普通本科;综合类;公办;双一流;18所参照,https://zsb.tiangong.edu.cn/;https://www.tiangong.edu.cn/,NULL
52,天津理工大学,天津西青区,普通本科;理工类;公办,http://zsb.tjut.edu.cn/;http://www.tjut.edu.cn/,NULL
53,天津科技大学,天津河西区,普通本科;理工类;公办,http://zsb.tust.edu.cn/;http://www.tust.edu.cn,NULL
54,天津财经大学,天津河西区,普通本科;财经类;公办,http://zhaosheng.tjufe.edu.cn/;http://www.tjufe.edu.cn,NULL
55,天津商业大学,天津北辰区,普通本科;财经类;公办,http://zs.tjcu.edu.cn;https://www.tjcu.edu.cn/,NULL
56,江南大学,江苏无锡市,普通本科;综合类;公办;211工程;双一流;18所参照,https://admission.jiangnan.edu.cn/;https://www.jiangnan.edu.cn/,NULL
57,天津外国语大学,天津河西区,普通本科;语言类;公办,http://zsb.tjfsu.edu.cn/;http://www.tjfsu.edu.cn/,NULL
58,中国民航大学,天津东丽区,普通本科;理工类;公办,https://www.cauc.edu.cn/zsb/;http://www.cauc.edu.cn,NULL
59,天津中医药大学,天津静海区,普通本科;医药类;公办;双一流,http://zsjy.tjutcm.edu.cn;http://www.tjutcm.edu.cn/,NULL
60,天津职业技术师范大学,天津河西区,普通本科;师范类;公办,https://zb.tute.edu.cn/;http://www.tute.edu.cn,NULL
61,天津城建大学,天津西青区,普通本科;综合类;公办,http://recruit.tcu.edu.cn/;http://www.tcu.edu.cn,NULL
62,天津体育学院,天津河西区,普通本科;体育类;公办,http://zb.tjus.edu.cn/;http://www.tjus.edu.cn,NULL
63,天津农学院,天津西青区,普通本科;农林类;公办,http://zjb.tjau.edu.cn/zsw.htm;http://www.tjau.edu.cn/,NULL
64,天津音乐学院,天津河东区,普通本科;艺术类;公办;30所独立,http://www.tjcm.edu.cn/zsxx/bkzs.htm;http://www.tjcm.edu.cn/,NULL
65,天津美术学院,天津河北区,普通本科;艺术类;公办;八大美院;30所独立,http://zsbgs.tjarts.edu.cn/index/bkzs.htm;http://www.tjarts.edu.cn,NULL
66,广西大学,广西南宁市,普通本科;综合类;公办;211工程;双一流,http://zs.gxu.edu.cn;http://www.gxu.edu.cn/,NULL
67,兰州大学,甘肃兰州市,普通本科;综合类;公办;211工程;985工程;双一流,http://zsb.lzu.edu.cn;http://www.lzu.edu.cn/,NULL
